,name,osm_id,access,access:conditional,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,alt_name,amenity,artist_name,beds,building,building:colour,building:levels,building:levels:underground,building:material,building:part,building:units,capacity,check_date,check_date:opening_hours,club,drinking_water,ele,emergency,fee,fountain,gnis:feature_id,healthcare,healthcare:speciality,height,internet_access,internet_access:fee,layer,leisure,lit,man_made,maxheight,maxstay,name:en,name:etymology:wikidata,name:etymology:wikipedia,natural,note,official_name,old_name,opening_hours,operator,operator:type,orientation,parking,phone,ref:isil,roof:angle,roof:colour,roof:levels,roof:material,roof:shape,smoking,source,sport,start_date,surface,toilets:wheelchair,tourism,tower:construction,tower:type,veterinary,website,wheelchair,wikidata,wikipedia,building:flats,office,type,name_imogen,n_postdocs,comment
1,1410 Engineering Dr,56997834,NA,NA,Madison,US,NA,1410,NA,WI,Engineering Drive,NA,NA,none,NA,NA,university,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1610 University Ave.,153660098,NA,NA,Madison,NA,NA,1610,NA,WI,University Avenue,NA,NA,none,NA,NA,university,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1910 Linden Dr.,37691885,NA,NA,Madison,NA,NA,1910,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,502 Herrick Dr.,38311318,NA,NA,Madison,NA,NA,2105,NA,WI,Linden Dr.,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,502 Herrick Dr.,38311319,NA,NA,Madison,NA,NA,2115,NA,WI,Linden Dr.,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,502 Herrick Dr.,299403522,NA,NA,Madison,NA,NA,502,NA,WI,Herrick Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Adams Residence Hall,173710620,NA,NA,Madison,NA,NA,1520,53706,WI,Tripp Circle,NA,NA,none,NA,NA,dormitory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Agricultural Engineering,38856046,NA,NA,Madison,US,NA,460,NA,WI,Henry Mall,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4693892,en:Agricultural Engineering Building,NA,NA,NA,AGRICULTURAL ENGINEERING BLDG,13,
9,Agricultural Engineering Laboratory,37550804,NA,NA,Madison,NA,NA,540,NA,WI,Elm Drive,NA,NA,none,NA,NA,university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Agricultural Hall,38953076,NA,NA,Madison,US,NA,1450,NA,WI,Linden Drive,NA,NA,none,NA,NA,university,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UW-Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4693993,"en:Agriculture Hall (Madison, Wisconsin)",NA,NA,NA,AGRICULTURAL HALL,1,
